,nA1,steps,nA2,age,social,neigh10,reprod,food,death,mutation_rate,time,combination,start_cog,round
142,15222.0,142,114.0,16.05263157894737,0.026363600221268317,0.9994414790703308,0.425,0.0,0.0,0.025,24985.76765155792,7,100.0,1
143,15244.0,143,148.0,13.135135135135135,0.027201841934585327,1.0002613728597158,0.2982456140350877,0.0,0.0,0.025,24985.76765155792,7,100.0,1
144,15271.0,144,148.0,14.135135135135135,0.032319520597284074,1.0010179251144269,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
145,15442.0,145,152.0,14.73684210526316,0.031469006897355545,0.9993630948292036,0.027027027027027032,0.0,0.0,0.025,24985.76765155792,7,100.0,1
146,15735.0,146,156.0,15.333333333333336,0.030332019055106286,1.0029696985155316,0.02631578947368421,0.0,0.0,0.025,24985.76765155792,7,100.0,1
147,16039.0,147,156.0,16.333333333333332,0.02989464556347348,1.0004470383367954,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
148,16219.0,148,156.0,17.333333333333332,0.02989464556347348,1.0006351676830594,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
149,16276.0,149,156.0,18.33333333333333,0.029894645563473488,1.0020583502063036,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
150,16294.0,150,156.0,19.33333333333333,0.02989464556347348,1.0031629311032502,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
151,16305.0,151,156.0,20.33333333333333,0.02989464556347348,1.0007875285060277,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
152,16397.0,152,158.0,21.063291139240505,0.029516232328492806,1.0001570993738782,0.01282051282051282,0.0,0.0,0.025,24985.76765155792,7,100.0,1
153,16620.0,153,160.0,21.7875,0.033722032409611837,1.0017887638584586,0.012658227848101266,0.0,0.0,0.025,24985.76765155792,7,100.0,1
154,16878.0,154,194.0,18.79381443298969,0.03143180451324055,1.0021791593457208,0.2125,0.0,0.0,0.025,24985.76765155792,7,100.0,1
